      Step     Time          Energy          fmax
FIRE:    0 12:02:03      222.140884       84.449720
FIRE:    1 12:02:03      209.178203       80.535863
FIRE:    2 12:02:03      191.347073       75.421026
FIRE:    3 12:02:03      177.039614       71.023275
FIRE:    4 12:02:03      163.343231       66.701496
FIRE:    5 12:02:04      149.636583       62.361690
FIRE:    6 12:02:04      137.490836       58.358850
FIRE:    7 12:02:04      126.331054       54.574627
FIRE:    8 12:02:04      115.502778       50.847778
FIRE:    9 12:02:04      105.450952       47.285496
FIRE:   10 12:02:04       96.373580       43.945600
FIRE:   11 12:02:04       87.893286       40.734873
FIRE:   12 12:02:04       79.915205       37.633976
FIRE:   13 12:02:04       72.623351       34.704247
FIRE:   14 12:02:05       65.978276       31.941044
FIRE:   15 12:02:05       59.812032       29.298157
FIRE:   16 12:02:05       54.121745       26.787175
FIRE:   17 12:02:05       48.956799       24.438231
FIRE:   18 12:02:05       44.256572       22.229573
FIRE:   19 12:02:05       39.948948       20.142224
FIRE:   20 12:02:05       36.037130       18.186272
FIRE:   21 12:02:05       32.521525       16.368705
FIRE:   22 12:02:05       29.356020       14.674865
FIRE:   23 12:02:05       26.505145       13.095510
FIRE:   24 12:02:05       23.963673       11.631285
FIRE:   25 12:02:05       21.715321       10.290663
FIRE:   26 12:02:06       19.726384        9.060135
FIRE:   27 12:02:06       17.978263        7.923287
FIRE:   28 12:02:06       16.463682        6.878837
FIRE:   29 12:02:06       15.166690        5.921462
FIRE:   30 12:02:06       14.065572        5.043696
FIRE:   31 12:02:06       13.144089        4.229206
FIRE:   32 12:02:06       12.387255        3.468329
FIRE:   33 12:02:06       11.775298        2.765930
FIRE:   34 12:02:07       11.292598        2.114740
FIRE:   35 12:02:07       10.930448        1.518013
FIRE:   36 12:02:07       10.674894        0.988525
FIRE:   37 12:02:07       10.504779        0.948791
FIRE:   38 12:02:07       10.401028        1.061681
FIRE:   39 12:02:07       10.347567        1.175627
FIRE:   40 12:02:07       10.326562        1.279500
FIRE:   41 12:02:07       10.127090        1.110211
FIRE:   42 12:02:07       10.003086        2.203278
FIRE:   43 12:02:07       10.170489        2.621061
FIRE:   44 12:02:07        9.842204        1.157442
FIRE:   45 12:02:07        9.906484        2.465927
FIRE:   46 12:02:07        9.820518        1.654587
FIRE:   47 12:02:07        9.739236        1.158439
FIRE:   48 12:02:08        9.721269        1.071055
FIRE:   49 12:02:08        9.719004        1.073038
FIRE:   50 12:02:08        9.714660        1.076862
FIRE:   51 12:02:08        9.708577        1.082233
FIRE:   52 12:02:08        9.701177        1.088708
FIRE:   53 12:02:08        9.692873        1.095695
FIRE:   54 12:02:09        9.683950        1.102481
FIRE:   55 12:02:09        9.674478        1.108282
FIRE:   56 12:02:09        9.663150        1.112688
FIRE:   57 12:02:10        9.649098        1.114383
