      Step     Time          Energy          fmax
FIRE:    0 15:47:42       36.324072        7.699826
FIRE:    1 15:47:42       32.557273        7.099965
FIRE:    2 15:47:42       29.593624        6.577171
FIRE:    3 15:47:42       27.171444        6.103037
FIRE:    4 15:47:42       25.110064        5.657652
FIRE:    5 15:47:42       23.294440        5.229043
FIRE:    6 15:47:42       21.656046        4.816945
FIRE:    7 15:47:42       20.156779        4.416674
FIRE:    8 15:47:42       18.779458        4.023973
FIRE:    9 15:47:42       17.517531        3.643888
FIRE:   10 15:47:42       16.367421        3.279249
FIRE:   11 15:47:42       15.327126        2.927624
FIRE:   12 15:47:42       14.395701        2.586950
FIRE:   13 15:47:42       13.571940        2.257942
FIRE:   14 15:47:43       12.853438        1.942916
FIRE:   15 15:47:43       12.236325        1.643883
FIRE:   16 15:47:43       11.715815        1.360877
FIRE:   17 15:47:43       11.286866        1.093148
FIRE:   18 15:47:43       10.944135        0.840812
FIRE:   19 15:47:43       10.681563        0.603307
FIRE:   20 15:47:43       10.492989        0.378280
FIRE:   21 15:47:43       10.371930        0.232579
FIRE:   22 15:47:43       10.310624        0.220074
FIRE:   23 15:47:43       10.301599        0.207614
FIRE:   24 15:47:43       10.280569        0.186097
FIRE:   25 15:47:43       10.246607        0.143181
FIRE:   26 15:47:43       10.215645        0.080674
FIRE:   27 15:47:43       10.207879        0.040699
FIRE:   28 15:47:43       10.207708        0.038665
FIRE:   29 15:47:43       10.207400        0.034729
FIRE:   30 15:47:43       10.207013        0.029140
FIRE:   31 15:47:43       10.206621        0.022239
FIRE:   32 15:47:43       10.206294        0.014438
FIRE:   33 15:47:43       10.206088        0.007915
